"Table 5.1  Age-Adjusted Incidence Rates (1) by County, Florida, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Cancers,,,,,,,Lung & Bronchus,,,,,,,Prostate,,,,,,,Breast,,,,,,Colorectal,,,,,,,,Bladder,,,,,Head & Neck,,,,,,,Non-Hodgkin,,,,,Melanoma,,,,,,,Ovary,,,,,Cervix,,,,,
,Rate,CI,,,,,,Rate,,CI,,,,,Rate,CI,,,,,,Rate,,,CI,,,Rate,,,CI,,,,,Rate,CI,,,,Rate,,,CI,,,,Rate,,CI,,,Rate,,CI,,,,,Rate,CI,,,,Rate,,CI,,,
Polk,493.9,480.2,,508.0,,,,56.7,,52.4,,,61.4,,106.9,98.3,,,116.2,,,128.4,,,118.4,139.2,,48.5,,,44.1,,53.2,,,17.5,15.1,20.2,,,20.5,,,17.8,,23.6,,21.2,,18.4,24.4,,35.8,,31.8,,,40.2,,9.2,6.6,,12.6,,11.9,,8.7,,16.0,
Putnam,503.6,460.4,,551.1,,,,88.5,,72.5,,,108.9,,114.4,88.9,,,149.0,,,146.6,,,112.3,190.8,,34.4,,,23.4,,50.5,,,12.3,6.6,23.4,,,28.4,,,19.0,,42.8,,15.4,,9.5,26.4,,25.6,,16.0,,,41.7,,^,^,,^,,^,,^,,^,
Santa Rosa,557.0,527.5,,587.9,,,,66.5,,57.0,,,77.5,,146.9,126.0,,,171.0,,,140.7,,,120.5,164.1,,47.0,,,38.7,,57.0,,,26.7,20.7,34.3,,,18.8,,,13.9,,25.3,,25.6,,19.5,33.4,,45.7,,37.1,,,56.1,,10.5,5.5,,19.1,,11.8,,5.9,,21.5,
Sarasota,505.6,488.5,,523.5,,,,44.5,,40.3,,,49.4,,128.7,118.7,,,140.1,,,128.2,,,115.5,142.6,,35.9,,,31.3,,41.5,,,22.4,19.6,26.1,,,16.2,,,13.2,,20.1,,23.3,,19.9,27.5,,37.3,,32.4,,,43.1,,11.9,8.1,,17.8,,11.6,,6.9,,18.8,
Seminole,471.3,454.0,,489.2,,,,50.6,,45.2,,,56.6,,125.4,112.7,,,139.3,,,138.5,,,125.5,152.8,,34.9,,,30.3,,40.2,,,16.3,13.2,19.9,,,18.1,,,14.9,,21.9,,18.2,,14.9,22.1,,33.0,,28.0,,,38.9,,11.7,8.2,,16.6,,12.5,,8.5,,18.0,
St. Johns,486.6,465.8,,508.4,,,,51.2,,44.9,,,58.4,,129.8,115.6,,,146.0,,,160.6,,,143.6,179.8,,31.8,,,26.5,,38.1,,,22.3,18.3,27.5,,,20.9,,,16.8,,26.1,,23.2,,18.9,28.5,,38.3,,32.3,,,45.5,,11.5,7.4,,18.1,,^,,^,,^,
St. Lucie,477.5,458.6,,497.3,,,,56.6,,50.8,,,63.2,,99.9,89.0,,,112.3,,,118.4,,,104.7,133.8,,37.2,,,31.8,,43.3,,,21.8,18.4,26.0,,,22.2,,,18.3,,26.8,,18.7,,15.0,23.3,,36.1,,30.1,,,43.4,,9.8,6.2,,15.2,,10.2,,5.9,,16.8,
Sumter,408.5,379.8,,441.4,,,,41.7,,34.5,,,53.9,,100.0,85.8,,,123.5,,,115.0,,,92.0,148.4,,25.7,,,18.9,,38.0,,,14.9,11.9,24.0,,,19.4,,,12.0,,32.7,,19.0,,12.9,30.7,,26.9,,18.0,,,43.2,,11.7,4.7,,33.3,,^,,^,,^,
Suwannee,492.5,437.9,,553.8,,,,71.6,,53.9,,,96.0,,80.3,52.9,,,121.8,,,135.5,,,94.4,192.4,,48.6,,,32.5,,72.2,,,18.9,10.5,34.9,,,22.3,,,11.0,,42.0,,22.9,,13.3,40.0,,23.8,,11.5,,,46.3,,^,^,,^,,^,,^,,^,
Taylor,523.5,443.2,,618.0,,,,83.7,,55.9,,,126.4,,101.4,59.0,,,173.8,,,197.8,,,125.4,308.7,,54.9,,,32.0,,93.8,,,^,^,^,,,^,,,^,,^,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Union,1322.5,1162.5,,1501.6,,,,171.5,,118.8,,,244.0,,436.6,317.9,,,592.0,,,112.1,,,53.4,234.4,,184.0,,,127.0,,261.5,,,^,^,^,,,114.0,,,71.7,,176.9,,^,,^,^,,80.2,,40.6,,,149.2,,^,^,,^,,^,,^,,^,
Volusia,524.6,508.9,,540.8,,,,68.4,,63.4,,,73.8,,116.9,107.6,,,127.3,,,135.0,,,123.3,147.9,,39.0,,,34.6,,43.9,,,19.0,16.4,22.2,,,21.9,,,18.8,,25.5,,21.3,,18.2,25.0,,38.8,,34.5,,,43.9,,11.6,8.2,,16.3,,16.1,,11.3,,22.3,
Wakulla,531.8,464.6,,608.0,,,,65.1,,43.8,,,96.2,,123.6,84.0,,,186.2,,,116.3,,,76.8,175.1,,38.1,,,21.2,,65.6,,,^,^,^,,,28.1,,,15.1,,51.4,,28.6,,15.3,52.0,,^,,^,,,^,,^,^,,^,,^,,^,,^,
Walton,409.2,371.6,,450.6,,,,49.8,,37.9,,,65.6,,107.4,82.2,,,140.0,,,115.3,,,87.2,151.6,,45.4,,,33.1,,61.7,,,17.3,10.4,28.4,,,15.3,,,9.0,,25.8,,14.0,,7.8,24.5,,17.1,,9.5,,,29.8,,^,^,,^,,^,,^,,^,
Washington,394.0,329.9,,469.6,,,,80.5,,54.9,,,118.0,,^,^,,,^,,,84.2,,,45.8,151.7,,48.6,,,27.3,,83.4,,,^,^,^,,,^,,,^,,^,,^,,^,^,,^,,^,,,^,,^,^,,^,,^,,^,,^,
